reviewer,tour,tourId,stars,date,body
"Avery","India Discovery","321149","5","2026-03-22","I had the absolute best time in India! The itinerary kept us busy but not exhausted. We saw highlights every single day. The accommodations were so beautiful an…"
"Niamh","Philippines Sunset","298994","5","2026-02-02","I had the most amazing and crazy time with Ekim and Bella. I feel so lucky with the group of girls we got and the tour guides. They were so knowledgeable and he…"
"Jess","Philippines Sunset","298994","5","2026-02-01","Had an absolutely amazing time. Ekim and Bella were incredible. The group I was with was great too! Everything was so well organised. Had the best time!!"
"Clare","Philippines Sunset","298994","5","2026-01-28","Had such a fun time on this tour, met so many amazing people and Ekim was such a good guide. He was super intelligent and knowledgeable about the history, Phill…"
"Rachel","Philippines Sunset","298994","5","2026-01-28","I honestly can’t put into words how incredible this Philippines tour was! hands down the best trip I’ve ever done, and a HUGE part of that was because of Ekim. …"
"Jane","Philippines Sunrise","298995","5","2025-10-31","Amer, Shawn and the crew were absolutely amazing! I cannot recommend them enough. They went above and beyond to ensure we had a good time and the tour ran s…"
"Aoife","Vietnam Expedition","324172","5","2025-10-17","May 2025 Vietnam tour with Happy Travels was amazing trip! The itinerary included everything we were looking for with lots included! Tu our guide exceeded our e…"
"Mathieu","Vietnam Expedition","324172","5","2025-10-15","I had such a wonderful time exploring Vietnam with Tu from ImHereTravels! He’s an incredible guide and very patient, and passionate about sharing his country’s …"
"Ekim","Vietnam Expedition","324172","5","2025-10-15","My first time in Vietnam made extra memorable with our tour guide Tu, he ticked all the boxes! We went through all our itinerary and even more! He personally to…"
"Ekim","Sri Lanka Wander","323687","5","2025-10-15","By far the best tour guide I've ever been on a trip with. He leaves no questions unanswered, very interactive, sweet, and kind! Dilip will make sure you have th…"
"IsabelEvans","Sri Lanka Wander","323687","5","2025-10-14","Loved this tour, the itinerary and activities were great, the accommodation was lovely and nicer than other tours I have done, our guide Dilip was so knowledgea…"
"Emily","Sri Lanka Wander","323687","5","2025-10-14","Really amazing tour with loads to do but never felt overwhelming with plenty of time to relax or explore on our own. Dilip was a great guide with lots of inform…"
"Hazel","Sri Lanka Wander","323687","5","2025-10-14","Wow. Sri Lanka was amazing. The adventures were unlimited. The sceneries were breathtaking. And it was all made even more special by I’m Here Travels. Everythin…"
"Jose","Sri Lanka Wander","323687","5","2025-10-14","One of the best tour guides I’ve ever had! Super accommodating, friendly, and genuinely passionate about what they do. The whole tour team made the whole experi…"
"Claribelle","Sri Lanka Wander","323687","5","2025-10-14","Sri Lanka is hands down my favorite tour! Our guide Dilip was absolutely incredible—his warmth, knowledge, and passion for Sri Lanka made the entire experience …"
"Emma","Sri Lanka Wander","323687","5","2025-10-14","Dilip was not only the most incredible Tour guide, but he was one of the kindest people I have EVER met in my life! He went above and beyond for every single on…"
"Jeralyn","Vietnam Expedition","324172","5","2025-10-14","Our Vietnam Tour with I’m Here Travels was absolutely amazing! We visited so many beautiful and fascinating places — every stop had something special to offer. …"
"Lucy","Philippines Sunrise","298995","5","2025-09-21","The most magical experience! Both the sunrise and sunset tours were exceptional! I would do both again in a heartbeat. Couldn’t fault it honestly, I miss both…"
